Technology Name,Category,Visual Quality (Rating /10),Visual Quality Points (25%),FPS (Desktop GPU),Performance Points (25%),Interactivity (Features),Interactivity Points (15%),Export Format,Export Points (15%),Gen Speed (sec),Gen Speed Points (10%),Infrastructure,Infra Points (10%),Total Score (100),Recommendation Tier,Notes
World Labs Service (Enhanced),Browser-based,7,18,60,25,Camera+Marking+Lighting,15,GLTF/JSON,15,5-15,10,Vercel serverless,10,93,Tier 1,Zero operational cost. Needs UI enhancements for camera marking and lighting presets. Fast generation via Gemini AI.
Procedural Service (Enhanced),Browser-based,6,15,60,25,Camera+Marking+Lighting,15,GLTF/JSON,15,5-10,10,Vercel serverless,10,90,Tier 1,Simplest to enhance. Best performance. Lower visual quality but adequate for location scouting. Zero cost.
Unreal Pixel Streaming,Server-based,10,25,60,20,Camera+Marking+Lighting,15,GLTF/USD/FBX,15,30-60,7,Complex (GPU servers),0,82,Tier 2,Best visual quality but expensive infrastructure ($450-4500/mo). High latency (100-300ms). Requires GPU servers.
Matterport-Style 360°,Image-based,8,20,60,25,Hotspot only,5,Hotspot JSON,10,10-20,10,Vercel serverless,10,80,Tier 2,Good fallback option. Not true 3D. Limited camera freedom. Moderate cost via Imagen 3 API ($160-16k/mo).
Luma AI Gaussian Splatting,API-based,9,22,60,25,Partial (no real-time lighting),5,GLTF,15,60-120,4,Vercel serverless,10,81,Tier 3,Prohibitively expensive ($500-50k/mo). Excellent quality but slow generation. Not recommended for production.
Unreal WebAssembly,Browser-based,8,20,30,15,Camera+Marking+Lighting,15,GLTF/USD,15,120-300 (load),0,Vercel serverless,10,75,Tier 3,Experimental. Huge bundle size (500MB-2GB). Long load times. Poor browser performance. Not production-ready.

SCORING RUBRIC,,,,,,,,,,,,,,,
Visual Quality (25%),"Rating 9-10 = 22-25 pts, 7-8 = 17-21 pts, 5-6 = 12-16 pts, <5 = 0-11 pts",,,,,,,,,,,,,,
Performance (25%),">60fps = 25 pts, >45fps = 20 pts, >30fps = 15 pts, >15fps = 10 pts, <15fps = 0 pts",,,,,,,,,,,,,,
Interactivity (15%),"All 3 features = 15 pts, 2 features = 10 pts, 1 feature = 5 pts, 0 features = 0 pts (Camera + Marking + Lighting)",,,,,,,,,,,,,,
Export Compatibility (15%),"GLTF/JSON export = 15 pts, Partial export = 10 pts, Incompatible = 0 pts",,,,,,,,,,,,,,
Generation Speed (10%),"<30s = 10 pts, 30-60s = 7 pts, 60-120s = 4 pts, >120s = 0 pts",,,,,,,,,,,,,,
Infrastructure (10%),"Vercel serverless = 10 pts, Requires server = 5 pts, Complex (GPU servers) = 0 pts",,,,,,,,,,,,,,

RECOMMENDATION TIERS,,,,,,,,,,,,,,,
Tier 1 (Recommended),"Total Score ≥80, 60fps on desktop, camera marking working, Vercel compatible",,,,,,,,,,,,,,
Tier 2 (Viable with Caveats),"Total Score ≥70, meets most requirements, may need infrastructure or quality trade-offs",,,,,,,,,,,,,,
Tier 3 (Not Recommended),"Total Score <75, fails FPS or compatibility requirements, too complex/expensive",,,,,,,,,,,,,,

TEST ENVIRONMENTS,,,,,,,,,,,,,,,
Environment 1,Industrial Warehouse (interior),50m x 30m x 10m high,"Props: crates, pallets, machinery",Materials: metal/concrete/glass,,,,,,,,,,,
Environment 2,Urban Street (exterior),100m length with buildings,"Props: vehicles, storefronts, signage",Materials: concrete/glass/asphalt,,,,,,,,,,,
